sheet_name,row_number,series_label,period,value,variable
Summary 1,22,Per cent of business at fixed rates Per cent,2025-Q2,92.675,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2025-Q3,92.94,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2025-Q4,93.241,fixed_rate_share_pct
Summary 1,27,All loans Per cent,2007-Q1,5.533,avg_interest_rate_all_loans_pct
Summary 1,27,All loans Per cent,2007-Q2,5.711,avg_interest_rate_all_loans_pct
Summary 1,27,All loans Per cent,2007-Q3,5.93,avg_interest_rate_all_loans_pct
Summary 1,27,All loans Per cent,2007-Q4,6.066,avg_interest_rate_all_loans_pct
Summary 1,27,All loans Per cent,2008-Q1,5.895,avg_interest_rate_all_loans_pct
Summary 1,27,All loans Per cent,2008-Q2,5.828,avg_interest_rate_all_loans_pct
Summary 1,27,All loans Per cent,2008-Q3,6.113,avg_interest_rate_all_loans_pct
Summary 1,27,All loans Per cent,2008-Q4,5.08,avg_interest_rate_all_loans_pct
Summary 1,27,All loans Per cent,2009-Q1,4.051,avg_interest_rate_all_loans_pct
Summary 1,27,All loans Per cent,2009-Q2,4.033,avg_interest_rate_all_loans_pct
Summary 1,27,All loans Per cent,2009-Q3,4.172,avg_interest_rate_all_loans_pct
Summary 1,27,All loans Per cent,2009-Q4,3.981,avg_interest_rate_all_loans_pct
Summary 1,27,All loans Per cent,2010-Q1,3.843,avg_interest_rate_all_loans_pct
Summary 1,27,All loans Per cent,2010-Q2,3.794,avg_interest_rate_all_loans_pct
Summary 1,27,All loans Per cent,2010-Q3,3.787,avg_interest_rate_all_loans_pct
Summary 1,27,All loans Per cent,2010-Q4,3.65,avg_interest_rate_all_loans_pct
Summary 1,27,All loans Per cent,2011-Q1,3.648,avg_interest_rate_all_loans_pct
Summary 1,27,All loans Per cent,2011-Q2,3.808,avg_interest_rate_all_loans_pct
Summary 1,27,All loans Per cent,2011-Q3,3.591,avg_interest_rate_all_loans_pct
Summary 1,27,All loans Per cent,2011-Q4,3.485,avg_interest_rate_all_loans_pct
