sheet_name,row_number,series_label,period,value,variable
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2021-Q3,0.674,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2021-Q4,0.657,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2022-Q1,0.647,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2022-Q2,0.627,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2022-Q3,0.603,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2022-Q4,0.618,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2023-Q1,0.649,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2023-Q2,0.734,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2023-Q3,0.835,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2023-Q4,0.942,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2024-Q1,0.995,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2024-Q2,1.018,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2024-Q3,1.028,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2024-Q4,1.019,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2025-Q1,1.001,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2025-Q2,0.994,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2025-Q3,0.962,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2025-Q4,0.941,serious_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2007-Q1,1.719,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2007-Q2,1.727,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2007-Q3,1.768,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2007-Q4,1.861,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2008-Q1,1.918,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2008-Q2,1.984,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2008-Q3,2.179,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2008-Q4,2.425,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2009-Q1,2.606,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2009-Q2,2.581,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2009-Q3,2.513,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2009-Q4,2.407,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2010-Q1,2.353,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2010-Q2,2.295,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2010-Q3,2.239,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2010-Q4,2.264,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2011-Q1,2.237,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2011-Q2,2.209,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2011-Q3,2.152,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2011-Q4,2.086,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2012-Q1,2.022,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2012-Q2,1.979,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2012-Q3,2.013,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2012-Q4,2.085,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2013-Q1,2.133,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2013-Q2,2.085,total_arrears_rate_pct
